COMMON_NAME_E,Year_tagged,RELEASE_LOCATION,RELEASE_LATITUDE,RELEASE_LONGITUDE
Brook trout,2021,ESTUARY,44.906452,-62.498045
Brook trout,2021,RST SITE,44.958544,-62.617825
Brook trout,2021,FALLS,44.925501,-62.543423
Brook trout,2021,LITTLE RIVER,44.953667,-62.610967
Brook trout,2021,ESTUARY,44.898303,-62.485942
Atlantic Salmon,2021,RST SITE,44.958544,-62.617825
Atlantic Salmon,2021,LITTLE RIVER,44.953667,-62.610967
Brook trout,2022,ESTUARY,44.906452,-62.498045
Brook trout,2022,LITTLE RIVER,44.953667,-62.610967
Brook trout,2022,RST SITE,44.958544,-62.617825
Atlantic Salmon,2022,RST SITE,44.958544,-62.617825
Brook trout,2022,SHEET HARBOUR LAKE,44.939677,-62.582644
Atlantic Salmon,2019,WR Smolt Trap,44.95855,-62.61775
